filename,prediction
00001.jpg,180
00002.jpg,100
00003.jpg,147
00004.jpg,186
00005.jpg,184
00006.jpg,80
00007.jpg,120
00008.jpg,163
00009.jpg,35
00010.jpg,61
00011.jpg,49
00012.jpg,113
00013.jpg,105
00014.jpg,131
00015.jpg,83
00016.jpg,50
00017.jpg,154
00018.jpg,36
00019.jpg,19
00020.jpg,35
00021.jpg,159
00022.jpg,4
00023.jpg,78
00024.jpg,54
00025.jpg,163
00026.jpg,190
00027.jpg,168
00028.jpg,194
00029.jpg,88
00030.jpg,5
00031.jpg,162
00032.jpg,145
00033.jpg,186
00034.jpg,39
00035.jpg,36
00036.jpg,6
00037.jpg,29
00038.jpg,70
00039.jpg,28
00040.jpg,165
00041.jpg,179
00042.jpg,110
00043.jpg,3
00044.jpg,53
00045.jpg,190
00046.jpg,32
00047.jpg,70
00048.jpg,84
00049.jpg,22
00050.jpg,169
00051.jpg,133
00052.jpg,135
00053.jpg,190
00054.jpg,155
00055.jpg,180
00056.jpg,121
00057.jpg,69
00058.jpg,138
00059.jpg,125
00060.jpg,33
00061.jpg,32
00062.jpg,120
00063.jpg,167
00064.jpg,34
00065.jpg,60
00066.jpg,182
00067.jpg,187
00068.jpg,83
00069.jpg,40
00070.jpg,11
00071.jpg,76
00072.jpg,133
00073.jpg,50
00074.jpg,138
00075.jpg,169
00076.jpg,0
00077.jpg,147
00078.jpg,61
00079.jpg,71
00080.jpg,173
00081.jpg,173
00082.jpg,24
00083.jpg,104
00084.jpg,46
00085.jpg,6
00086.jpg,194
00087.jpg,167
00088.jpg,81
00089.jpg,189
00090.jpg,85
00091.jpg,50
00092.jpg,148
00093.jpg,81
00094.jpg,27
00095.jpg,186
00096.jpg,56
00097.jpg,112
00098.jpg,109
00099.jpg,151
00100.jpg,93
00101.jpg,185
00102.jpg,18
00103.jpg,31
00104.jpg,88
00105.jpg,2
00106.jpg,142
00107.jpg,33
00108.jpg,138
00109.jpg,28
00110.jpg,20
00111.jpg,177
00112.jpg,15
00113.jpg,168
00114.jpg,36
00115.jpg,162
00116.jpg,154
00117.jpg,45
00118.jpg,62
00119.jpg,8
00120.jpg,29
00121.jpg,70
00122.jpg,121
00123.jpg,57
00124.jpg,173
00125.jpg,40
00126.jpg,27
00127.jpg,117
00128.jpg,1
00129.jpg,113
00130.jpg,1
00131.jpg,110
00132.jpg,66
00133.jpg,17
00134.jpg,33
00135.jpg,29
00136.jpg,107
00137.jpg,4
00138.jpg,89
00139.jpg,139
00140.jpg,128
00141.jpg,136
00142.jpg,76
00143.jpg,54
00144.jpg,124
00145.jpg,51
00146.jpg,154
00147.jpg,54
00148.jpg,26
00149.jpg,23
00150.jpg,59
00151.jpg,78
00152.jpg,30
00153.jpg,188
00154.jpg,158
00155.jpg,23
00156.jpg,171
00157.jpg,81
00158.jpg,9
00159.jpg,43
00160.jpg,180
00161.jpg,151
00162.jpg,178
00163.jpg,45
00164.jpg,131
00165.jpg,45
00166.jpg,7
00167.jpg,34
00168.jpg,59
00169.jpg,115
00170.jpg,96
00171.jpg,40
00172.jpg,159
00173.jpg,146
00174.jpg,22
00175.jpg,104
00176.jpg,52
00177.jpg,155
00178.jpg,96
00179.jpg,118
00180.jpg,122
00181.jpg,29
00182.jpg,43
00183.jpg,2
00184.jpg,135
00185.jpg,131
00186.jpg,13
00187.jpg,78
00188.jpg,160
00189.jpg,49
00190.jpg,36
00191.jpg,75
00192.jpg,12
00193.jpg,32
00194.jpg,106
00195.jpg,20
00196.jpg,101
00197.jpg,84
00198.jpg,26
00199.jpg,142
00200.jpg,159
00201.jpg,21
00202.jpg,128
00203.jpg,56
00204.jpg,158
00205.jpg,26
00206.jpg,186
00207.jpg,53
00208.jpg,104
00209.jpg,70
00210.jpg,16
00211.jpg,41
00212.jpg,114
00213.jpg,166
00214.jpg,8
00215.jpg,171
00216.jpg,138
00217.jpg,172
00218.jpg,96
00219.jpg,113
00220.jpg,63
00221.jpg,147
00222.jpg,193
00223.jpg,185
00224.jpg,46
00225.jpg,144
00226.jpg,75
00227.jpg,93
00228.jpg,96
00229.jpg,36
00230.jpg,114
00231.jpg,64
00232.jpg,9
00233.jpg,50
00234.jpg,184
00235.jpg,145
00236.jpg,141
00237.jpg,117
00238.jpg,65
